監督名,年度,チーム,大会,試合数,勝,分,負,成績,URL
ペトロヴィッチ,2023,札幌,J1,34,10,10,14,12位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2954
ペトロヴィッチ,2023,札幌,YLC,8,4,1,3,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2954
ペトロヴィッチ,2024,札幌,J1,38,9,10,19,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2954
ペトロヴィッチ,2024,札幌,YLC,6,4,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2954
ペトロヴィッチ,29,11,12,6,6,0,0,-,https://data.j-league.or.jp/SFIX07/?staff_id=3934
ペトロヴィッチ,2011,浦和,J1,29,6,11,12,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3934
ペトロヴィッチ,2011,浦和,YNC,6,6,0,0,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=3934
ペドロ　ローシャ,32,-,23,6,1,1,4,-,https://data.j-league.or.jp/SFIX07/?staff_id=739
ペドロ　ローシャ,1997,京都,J,16,6,-,10,13位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=739
ペドロ　ローシャ,1997,京都,J,16,3,-,13,16位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=739
ペドロ　ローシャ,1997,京都,YNC,6,1,1,4,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=739
ペリマン,88,6,35,16,5,6,5,-,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,1999,清水,J1,15,10,1,4,3位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,1999,清水,J1,15,12,0,3,優勝/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,1999,清水,YNC,4,1,1,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2000,清水,J1,15,10,0,5,3位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2000,清水,J1,15,5,2,8,13位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2000,清水,YNC,6,3,1,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2001,柏,J1,15,6,3,6,7位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2002,柏,J1,13,4,0,9,14位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=579
ペリマン,2002,柏,YNC,6,1,4,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=579
星川　敬,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=17460
星川　敬,2022,YS横浜,J3,25,8,2,15,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=17460
星川　敬,2023,YS横浜,J3,24,6,9,9,12位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=17460
星川　敬,2024,岩手,J3,14,2,2,10,20位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=17460
堀　孝史,24,8,9,5,1,2,2,53,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2011,浦和,J1,5,2,1,2,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2011,浦和,YNC,1,0,0,1,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2017,浦和,J1,14,5,5,4,7位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2017,浦和,YLC,2,0,2,0,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2018,浦和,J1,5,0,2,3,5位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2018,浦和,YLC,2,1,0,1,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2021,東京Ｖ,J2,15,6,3,6,12位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2022,東京Ｖ,J2,21,6,8,7,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀　孝史,2023,仙台,J2,17,4,4,9,16位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2338
堀井　美晴,-,-,-,2,2,0,0,20,https://data.j-league.or.jp/SFIX07/?staff_id=618
堀井　美晴,2001,川崎Ｆ,YNC,2,2,0,0,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=618
堀井　美晴,2001,川崎Ｆ,J2,20,8,2,10,7位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=618
ホルガー　オジェック,118,10,40,16,4,5,7,-,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,1995,浦和,J,26,15,-,11,3位/14チーム,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,1995,浦和,J,26,14,-,12,8位/14チーム,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,1996,浦和,J,30,19,-,11,6位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,1996,浦和,YNC,14,4,4,6,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,2007,浦和,J1,34,20,10,4,2位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,2007,浦和,YNC,2,0,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=384
ホルガー　オジェック,2008,浦和,J1,2,0,0,2,7位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=384
前田　浩二,-,-,-,-,-,-,-,56,https://data.j-league.or.jp/SFIX07/?staff_id=2617
前田　浩二,2012,福岡,J2,42,9,14,19,18位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2617
前田　浩二,2013,鳥取,J2,14,0,5,9,22位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2617
前田　秀樹,-,-,-,-,-,-,-,228,https://data.j-league.or.jp/SFIX07/?staff_id=2259
前田　秀樹,2003,水戸,J2,44,15,11,18,7位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2259
前田　秀樹,2004,水戸,J2,44,6,19,19,9位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2259
前田　秀樹,2005,水戸,J2,44,13,13,18,10位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2259
前田　秀樹,2006,水戸,J2,48,14,9,25,10位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2259
前田　秀樹,2007,水戸,J2,48,8,10,30,12位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2259
マザロッピ,3,0,1,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=1334
マザロッピ,1999,名古屋*4,J1,2,1,0,1,2位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1334
マザロッピ,2000,名古屋*4,J1,1,1,0,0,12位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1334
増田　功作,-,-,-,1,0,0,1,63,https://data.j-league.or.jp/SFIX07/?staff_id=3617
増田　功作,2024,徳島,J2,31,15,6,10,8位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3617
増田　功作,2025,徳島,YLC,1,0,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3617
増田　功作,2025,徳島,J2,32,15,9,8,4位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3617
増本　浩平,-,-,-,4,2,0,2,-,https://data.j-league.or.jp/SFIX07/?staff_id=11063
増本　浩平,2023,鳥取,J3,24,11,8,5,6位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11063
増本　浩平,2024,北九州,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11063
増本　浩平,2024,北九州,J3,38,15,11,12,7位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11063
増本　浩平,2025,北九州,YLC,2,1,0,1,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11063
増本　浩平,2025,北九州,J3,31,13,5,13,9位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11063
間瀬　秀一,-,-,-,-,-,-,-,56,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2015,秋田,J3,36,12,9,15,8位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2016,秋田,J3,30,14,8,8,4位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2017,愛媛,J2,42,14,9,19,15位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2018,愛媛,J2,14,2,4,8,18位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2018,秋田,J3,16,6,4,6,8位/17チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
間瀬　秀一,2019,秋田,J3,34,13,10,11,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2280
マチェイ　スコルジャ,77,24,21,13,4,6,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マチェイ　スコルジャ,2023,浦和,J1,34,15,12,7,4位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マチェイ　スコルジャ,2023,浦和,YLC,11,4,5,2,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マチェイ　スコルジャ,2024,浦和,J1,10,3,2,5,13位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マチェイ　スコルジャ,2025,浦和,J1,33,14,10,9,8位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マチェイ　スコルジャ,2025,浦和,YLC,2,0,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=18040
マッシモ　フィッカデンティ,245,63,80,41,13,14,14,-,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2014,Ｆ東京,J1,34,12,12,10,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2014,Ｆ東京,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2015,FC東京,J1,17,11,2,4,2位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2015,FC東京,J1,17,8,4,5,6位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2015,FC東京,YNC,8,3,4,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2016,鳥栖,J1,17,4,5,8,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2016,鳥栖,J1,17,8,5,4,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2016,鳥栖,YLC,6,0,4,2,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2017,鳥栖,J1,34,13,8,13,8位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2017,鳥栖,YLC,6,1,2,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2018,鳥栖,J1,29,7,9,13,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2018,鳥栖,YLC,6,1,2,3,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2019,名古屋,J1,8,1,3,4,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2020,名古屋,J1,34,19,6,9,3位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2020,名古屋,YLC,4,2,1,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2021,名古屋,J1,38,19,9,10,5位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5405
マッシモ　フィッカデンティ,2021,名古屋,YLC,5,4,0,1,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=5405
松木　安太郎,128,0,50,17,9,2,6,-,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1993,Ｖ川崎,J,18,12,-,6,2位/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1993,Ｖ川崎,J,18,16,-,2,優勝/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1993,Ｖ川崎,YNC,8,6,-,2,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1994,Ｖ川崎,J,22,14,-,8,4位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1994,Ｖ川崎,J,22,17,-,5,優勝/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1994,Ｖ川崎,YNC,3,3,-,0,優勝,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1998,Ｃ大阪,J,17,8,-,9,9位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1998,Ｃ大阪,J,17,7,-,10,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,1998,Ｃ大阪,YNC,4,0,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,2001,東京Ｖ,J1,14,4,0,10,16位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=46
松木　安太郎,2001,東京Ｖ,YNC,2,0,1,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=46
松田　岳夫,-,-,-,-,-,-,-,45,https://data.j-league.or.jp/SFIX07/?staff_id=3556
松田　岳夫,2009,東京Ｖ,J2,7,4,2,1,7位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3556
松田　岳夫,2011,鳥取,J2,38,8,7,23,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3556
松田　岳夫,2019,福島,J3,34,13,4,17,11位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3556
松田　岳夫,2020,福島,J3,34,11,6,17,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3556
松田　浩,110,29,43,18,5,4,9,396,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2002,神戸,J1,5,2,0,3,13位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2002,神戸,J1,15,6,2,7,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2003,福岡,J2,44,21,8,15,4位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2004,福岡,J2,44,23,7,14,3位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2005,福岡,J2,44,21,15,8,2位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2006,福岡,J1,12,1,5,6,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2006,福岡,YNC,6,1,2,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2006,神戸,J2,14,5,5,4,3位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2007,神戸,J1,34,13,8,13,10位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2007,神戸,YNC,6,1,1,4,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2008,神戸,J1,34,12,11,11,10位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2008,神戸,YNC,6,3,1,2,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2009,栃木,J2,51,8,13,30,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2010,栃木,J2,36,14,8,14,10位/19チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2011,栃木,J2,38,15,11,12,10位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2012,栃木,J2,42,17,9,16,11位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2013,栃木,J2,32,10,10,12,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2021,長崎,J2,30,19,7,4,4位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2022,長崎,J2,21,9,4,8,11位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2022,Ｇ大阪,J1,10,4,3,3,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松田　浩,2023,宮崎,J3,28,8,8,12,19位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=804
松永　英機,40,4,14,7,1,1,5,181,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,1999,Ｖ川崎,J1,15,11,1,3,2位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,1999,Ｖ川崎,J1,15,6,1,8,10位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,1999,Ｖ川崎,YNC,4,1,1,2,2回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2003,甲府,J2,44,19,12,13,5位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2004,甲府,J2,44,15,13,16,7位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2005,神戸,J1,6,1,2,3,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2005,神戸,YNC,2,0,0,2,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2008,岐阜,J2,42,10,12,20,13位/15チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2009,岐阜,J2,51,16,14,21,12位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2021,横浜FM,J1,4,4,0,0,2位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松永　英機,2021,横浜FM,YLC,1,0,0,1,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2241
松波　正信,59,15,24,4,1,0,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2012,Ｇ大阪,J1,31,9,11,11,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2012,Ｇ大阪,YNC,2,0,0,2,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2014,鳥取,J3,33,14,11,8,4位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2015,鳥取,J3,36,14,8,14,6位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2021,Ｇ大阪,J1,28,11,4,13,13位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松波　正信,2021,Ｇ大阪,YLC,2,1,0,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3669
松橋　力蔵,106,33,41,18,10,1,7,42,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2022,新潟,J2,42,25,9,8,優勝/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2023,新潟,J1,34,11,12,11,10位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2023,新潟,YLC,6,2,0,4,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2024,新潟,J1,38,10,12,16,16位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2024,新潟,YLC,9,6,1,2,準優勝,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2025,FC東京,J1,34,11,9,14,11位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松橋　力蔵,2025,FC東京,YLC,3,2,0,1,3回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3239
松原　良香,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=7807
松原　良香,2015,相模原,J3,3,2,1,0,4位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7807
松原　良香,2023,岩手,J3,27,9,6,12,10位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7807
松本　育夫,-,-,-,-,-,-,-,213,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,1999,川崎Ｆ,J2,31,24,2,5,優勝/10チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,2004,鳥栖,J2,44,8,11,25,11位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,2005,鳥栖,J2,44,14,10,20,8位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,2006,鳥栖,J2,48,22,13,13,4位/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,2010,鳥栖,J2,36,13,12,11,9位/19チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松本　育夫,2013,栃木,J2,10,7,2,1,9位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1479
松山　博明,1,0,0,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=724
松山　博明,2009,大分,J1,1,1,0,0,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=724
マリヤン　プシュニク,-,-,-,-,-,-,-,84,https://data.j-league.or.jp/SFIX07/?staff_id=4285
マリヤン　プシュニク,2013,福岡,J2,42,15,11,16,14位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4285
マリヤン　プシュニク,2014,福岡,J2,42,13,11,18,16位/22チーム,https://data.j-league.or.jp/SFIX07/?staff_id=4285
マルコ　アウレリオ,45,13,17,7,0,3,4,-,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　アウレリオ,2002,柏,J1,15,6,3,6,9位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　アウレリオ,2002,柏,YNC,1,0,0,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　アウレリオ,2003,柏,J1,15,6,3,6,9位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　アウレリオ,2003,柏,J1,15,3,7,5,11位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　アウレリオ,2003,柏,YNC,6,0,3,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=2175
マルコ　ペッツァイオリ,9,4,5,2,1,0,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=5578
マルコ　ペッツァイオリ,2014,Ｃ大阪,J1,9,0,4,5,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=5578
マルコ　ペッツァイオリ,2014,Ｃ大阪,YNC,2,1,0,1,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=5578
丸山　良明,-,-,-,-,-,-,-,-,https://data.j-league.or.jp/SFIX07/?staff_id=7957
丸山　良明,2020,Ｃ大23,J3,28,4,9,15,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=7957
三浦　淳寛,59,15,19,8,2,3,3,-,https://data.j-league.or.jp/SFIX07/?staff_id=11214
三浦　淳寛,2020,神戸,J1,14,4,1,9,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11214
三浦　淳寛,2021,神戸,J1,38,21,10,7,3位/20チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11214
三浦　淳寛,2021,神戸,YLC,8,2,3,3,プレーオフステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=11214
三浦　淳寛,2022,神戸,J1,7,0,4,3,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=11214
三浦　哲郎,17,1,8,4,2,1,1,-,https://data.j-league.or.jp/SFIX07/?staff_id=88
三浦　哲郎,1994,名古屋*2,J,2,1,-,1,12位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=88
三浦　哲郎,2001,名古屋,J1,15,7,1,7,6位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=88
三浦　哲郎,2001,名古屋,YNC,4,2,1,1,準決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=88
三浦　俊也,158,32,84,32,9,6,17,176,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2000,大宮,YNC,2,0,0,2,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2000,大宮,J2,40,23,1,16,4位/11チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2001,大宮,YNC,2,0,1,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2001,大宮,J2,44,26,6,12,5位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2004,大宮,J2,44,26,9,9,2位/12チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2005,大宮,J1,34,12,5,17,13位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2005,大宮,YNC,8,3,1,4,準々決勝敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2006,大宮,J1,34,13,5,16,12位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2006,大宮,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2007,札幌,J2,48,27,10,11,優勝/13チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2008,札幌,J1,34,4,6,24,18位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2008,札幌,YNC,6,1,2,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2009,神戸,J1,14,4,5,5,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2010,神戸,J1,22,5,6,11,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2010,神戸,YNC,6,2,1,3,予選リーグ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2011,甲府,J1,20,4,5,11,16位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2011,甲府,YNC,2,1,0,1,1回戦敗退,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　俊也,2022,岐阜,J3,7,2,1,4,14位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=1301
三浦　文丈,19,5,10,7,1,1,5,16,https://data.j-league.or.jp/SFIX07/?staff_id=3017
三浦　文丈,2016,長野,J3,30,15,7,8,3位/16チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3017
三浦　文丈,2017,新潟,J1,10,1,2,7,17位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3017
三浦　文丈,2017,新潟,YLC,3,0,1,2,グループステージ敗退,https://data.j-league.or.jp/SFIX07/?staff_id=3017
三浦　文丈,2019,相模原,J3,34,10,8,16,15位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3017
三浦　文丈,2020,相模原,J3,34,16,13,5,2位/18チーム,https://data.j-league.or.jp/SFIX07/?staff_id=3017
